COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
PartnerId,int,10,0
CurrencyId,char,,
IBAN,varchar,,
SwiftCode,varchar,,
Name,nvarchar,,
FirstName,nvarchar,,
LastName,nvarchar,,
MiddleName,nvarchar,,
Title,nvarchar,,
NickName,varchar,,
Login,nvarchar,,
RegionId,int,10,0
BirthRegionId,int,10,0
Gender,int,10,0
ProfileId,int,10,0
DocNumber,nvarchar,,
PersonalId,nvarchar,,
Address,nvarchar,,
AditionalAddress,nvarchar,,
Email,varchar,,
Language,char,,
Phone,varchar,,
MobilePhone,varchar,,
BirthDate,datetime,,
City,nvarchar,,
ZipCode,nvarchar,,
BirthCity,nvarchar,,
BirthDepartment,nvarchar,,
MaximalDailyBet,decimal,18,2
MaximalSingleBet,decimal,18,2
PasswordSalt,bigint,19,0
PasswordHash,varchar,,
PromoCode,varchar,,
TimeZone,decimal,3,1
OwnerId,int,10,0
IsLocked,bit,,
IsSubscribedToNewsletter,bit,,
IsVerified,bit,,
Created,datetimeoffset,,
Modified,datetimeoffset,,
SessionId,int,10,0
Excluded,datetimeoffset,,
ExcludeTypeId,int,10,0
RFId,varchar,,
ResetCode,varchar,,
ResetExpireDate,datetimeoffset,,
DocIssuedBy,nvarchar,,
DocIssueDate,date,,
DocIssueCode,nvarchar,,
Province,nvarchar,,
PreMatchSelectionLimit,decimal,8,2
LiveSelectionLimit,decimal,8,2
SportsbookProfileId,int,10,0
LoyaltyLevelId,int,10,0
IsUsingLoyaltyProgram,bit,,
GlobalLiveDelay,int,10,0
AffilateId,nvarchar,,
BTag,nvarchar,,
ExcludedLast,datetimeoffset,,
IsTest,bit,,
ExternalId,varchar,,
AuthomaticWithdrawalAmount,decimal,18,2
AuthomaticWithdrawalMinLeftAmount,decimal,18,2
IsAutomaticWithdrawalEnabled,bit,,
ActivationCode,varchar,,
ActivationCodeExpireDate,datetimeoffset,,
ActivationState,int,10,0
IsResident,bit,,
RegistrationSource,int,10,0
DocumentInfo,nvarchar,,
PricePartnerId,int,10,0
NotificationOptions,int,10,0
AccountHolder,nvarchar,,
CashDeskId,int,10,0
WrongLoginAttempts,int,10,0
WrongLoginBlockTime,datetimeoffset,,
ActiveTimeInCasino,int,10,0
DublicateClientId,int,10,0
IsNoBonus,bit,,
IsSportBlocked,bit,,
IsCasinoBlocked,bit,,
VerificationDate,datetimeoffset,,
DocRegionId,int,10,0
OriginalBirthDate,date,,
PartnerFlag,nvarchar,,
PidNumber,nvarchar,,
Currencies,nvarchar,,
Status,int,10,0
GDPRAcceptanceDate,datetimeoffset,,
LastCashBackBonusDate,datetimeoffset,,
IsRMTBlocked,bit,,
TermsAndConditionsVersion,varchar,,
TCVersionAcceptanceDate,datetimeoffset,,
IsTwoFactorAuthenticationEnabled,bit,,
IsQRCodeUsed,bit,,
TwoFactorAuthenticationCode,varchar,,
PepStatusId,int,10,0
PepStatusModifiedDate,datetimeoffset,,
PreferredCurrencyId,char,,
SessionDuration,int,10,0
PartnerClientCategoryId,int,10,0
