COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
ClientId,int,10,0
PartnerBonusId,int,10,0
AcceptanceType,int,10,0
AcceptanceDate,datetimeoffset,,
ResultType,int,10,0
ResultDate,datetimeoffset,,
Count,int,10,0
Amount,decimal,18,2
ExpirationDate,datetimeoffset,,
ExternalId,int,10,0
RealAmount,decimal,18,2
WinAmount,decimal,18,2
WageredAmount,decimal,18,2
ToWagerAmount,decimal,18,2
PaidAmount,decimal,18,2
Note,nvarchar,,
CreatedBySessionId,int,10,0
Created,datetimeoffset,,
Modified,datetimeoffset,,
SessionId,int,10,0
DocumentId,bigint,19,0
PaymentDocumentId,bigint,19,0
UpdateVersion,timestamp,,
PromoCodeId,int,10,0
CancellationNote,nvarchar,,
