COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
Type,int,10,0
ClientId,int,10,0
PaymentSystemId,int,10,0
Amount,decimal,18,2
FeeAmount,decimal,18,2
State,int,10,0
RequestTime,datetimeoffset,,
RequestDocumentId,bigint,19,0
PaymentDocumentId,bigint,19,0
BetshopId,int,10,0
Notes,nvarchar,,
Info,nvarchar,,
ModifyUserId,int,10,0
RejectReason,nvarchar,,
ModifyTime,datetimeoffset,,
AllowUserId,int,10,0
AllowTime,datetimeoffset,,
RejectUserId,int,10,0
Modified,datetimeoffset,,
SessionId,int,10,0
UpdateVersion,timestamp,,
ClientNotes,nvarchar,,
PaidReason,nvarchar,,
PaymentSystemMessage,nvarchar,,
PaymentInfo,nvarchar,,
PartnerBankId,int,10,0
ImageId,int,10,0
CurrencyId,char,,
