COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
NameId,int,10,0
RegionId,int,10,0
SportId,int,10,0
Modified,datetimeoffset,,
SessionId,int,10,0
UpdateVersion,timestamp,,
IsSendingPreMatch,bit,,
LiveDelay,int,10,0
MultipleMinValue,int,10,0
IsTeamsReversed,bit,,
VideoId,int,10,0
NoteId,int,10,0
MarketTypeOddGroupId,int,10,0
CashOutOption,int,10,0
DefaultLiveAvailable,bit,,
MainMarketOrderCount,int,10,0
ExactBooking,bit,,
URL,nvarchar,,
MarketCreationTemplateId,int,10,0
ArjelCode,nvarchar,,
IsNotSendingLive,bit,,
CompetitionInfo,nvarchar,,
ParentId,int,10,0
LeageType,int,10,0
MatchInfoId,int,10,0
CreationSource,int,10,0
