COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
PartnerId,int,10,0
TypeId,int,10,0
GameId,int,10,0
CurrencyId,char,,
State,int,10,0
Amount,decimal,18,2
TransactionDate,date,,
Created,datetimeoffset,,
Modified,datetimeoffset,,
SessionId,int,10,0
AmountExpression,varchar,,
CashDeskId,int,10,0
PaymentSystemId,int,10,0
ClientId,int,10,0
Note,nvarchar,,
ParentId,bigint,19,0
ExternalId,varchar,,
ExternalTypeId,int,10,0
ClientSessionId,int,10,0
UpdateVersion,timestamp,,
IsProcessed,bit,,
PaidCashDeskId,int,10,0
