COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
MatchId,int,10,0
NameId,int,10,0
Handicap,decimal,8,2
Sequence,int,10,0
PointSequence,int,10,0
IsAutoSuspended,bit,,
IsPrematchAutoSuspended,bit,,
IsManualSuspended,bit,,
IsVisible,bit,,
IsPrematchVisible,bit,,
IsManualVisible,bit,,
MarketTypeId,int,10,0
Profitness,decimal,8,4
Modified,datetimeoffset,,
SessionId,int,10,0
MatchResultId,int,10,0
ExternalId,bigint,19,0
IsManualResulted,bit,,
UpdateVersion,timestamp,,
IsManual,bit,,
MarketOrder,int,10,0
WinCount,int,10,0
IsMain,bit,,
SelectionsModified,datetimeoffset,,
ExtraInfo,varchar,,
HomeScore,int,10,0
AwayScore,int,10,0
MainOrder,int,10,0
ResultingDate,datetimeoffset,,
IsSuspendByLimiting,bit,,
IsInVisiblePriceRange,bit,,
EachWayType,int,10,0
SuspendedUserId,int,10,0
IsSelectionsOrderedByPrice,bit,,
MultipleBetIndex,int,10,0
