COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
SportId,int,10,0
NameId,int,10,0
Kind,varchar,,
IsHandicap,bit,,
IsOverUnder,bit,,
IsPeriodSequence,bit,,
PeriodSequenceCount,int,10,0
IsPointSequence,bit,,
PointSequenceCount,int,10,0
IsVariableProfitnes,bit,,
IsParentSequence,bit,,
IsWithItems,bit,,
IsActive,bit,,
Order,int,10,0
CalcOrder,int,10,0
SelectionCount,int,10,0
DisplayColor,int,10,0
PairGroupId,int,10,0
TypeGroup,int,10,0
IsScoreType,bit,,
ResultExpression,varchar,,
IsSelectionSequence,bit,,
SuspensionValue,decimal,5,2
SuspensionType,int,10,0
IsPrematchOnly,bit,,
IsLiveOnly,bit,,
IsMainMarket,bit,,
IsDynamic,bit,,
MinPrice,decimal,19,5
MaxPrice,decimal,19,5
LimitPercentage,decimal,8,2
WinCount,int,10,0
PreMatchKind,varchar,,
SuspensionFactor,decimal,8,2
MultipleBetIndex,int,10,0
ResultTypeId,int,10,0
LiveKind,varchar,,
CashOutAvailable,bit,,
KindBasalt,varchar,,
AsianShowType,varchar,,
AsianSequence,varchar,,
AsianPeriod,varchar,,
SelectionDisplayCount,int,10,0
DisplayKey,varchar,,
DisplaySubKey,varchar,,
DefaultSequence,int,10,0
HasMainMarket,bit,,
AutoGenerateItems,bit,,
IsManualLive,bit,,
IsDeleted,bit,,
Modified,datetimeoffset,,
SessionId,int,10,0
LiveDelay,int,10,0
UseOnlyOriginalPrice,bit,,
NotSendingToBasalt,bit,,
MultipleBetIndexUsage,int,10,0
ReverseId,int,10,0
StoreScore,bit,,
IsExcludedFromSameOddLogic,bit,,
PeriodType,int,10,0
IsAllowCashoutOnManualSuspend,bit,,
ArjelCode,nvarchar,,
MinVisiblePrice,decimal,19,5
MaxVisiblePrice,decimal,19,5
IsVisibleAlways,bit,,
IsBasic,bit,,
IsCalculatedFromBasic,bit,,
IsMaxPriceRestrictionAllowed,bit,,
AvailableforBetBuilder,bit,,
NotifyWhenResulted,bit,,
CheckForAlternateSelection,bit,,
IsSelectionsOrderedByPrice,bit,,
ArjelCodes,nvarchar,,
