COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
CompetitionId,int,10,0
StartTime,datetimeoffset,,
ResultKind,int,10,0
UpdateVersion,timestamp,,
MatchInfo,varchar,,
LiveStatus,int,10,0
CancelReasonId,int,10,0
Source,int,10,0
VideoProvider,int,10,0
VideoId,int,10,0
SeasonId,int,10,0
Order,int,10,0
Round,int,10,0
CancelReason,nvarchar,,
Modified,datetimeoffset,,
SessionId,int,10,0
ScoutId,bigint,19,0
ScoutProvider,int,10,0
BetradarId,int,10,0
SuspensionTime,datetimeoffset,,
LiveDelay,int,10,0
LimitPercentage,decimal,8,2
MultipleMinValue,int,10,0
ResultingNote,nvarchar,,
LinkGroupId,int,10,0
ResultingUserId,int,10,0
IsStatAvailable,bit,,
IsOutright,bit,,
ShortId,int,10,0
IsArchived,bit,,
NoteId,int,10,0
VideoConfig,varchar,,
LiveUserId,int,10,0
Info,nvarchar,,
MobileVideoId,int,10,0
InternalNote,nvarchar,,
VideoId2,int,10,0
OldLiveDelay,int,10,0
DisplayType,int,10,0
Duration,int,10,0
SetAvailableUserId,int,10,0
VideoData,varchar,,
HasStartTimeChanged,bit,,
CreationOrigin,int,10,0
IsNeutralVenue,bit,,
StrongSide,smallint,5,0
VirtualInfo,varchar,,
RiskLevel,smallint,5,0
IsVoid,bit,,
ExactBooking,bit,,
MatchTVInfo,nvarchar,,
MarketCreationTemplateId,int,10,0
IsFinalScoreConfirmed,bit,,
IsStreamAvailable,bit,,
MatchInfoId,int,10,0
CalculationBlockedUserId,int,10,0
IsCalculationBlocked,bit,,
ExternalProviderInfo,nvarchar,,
DoNotShowScores,bit,,
BetOnLineups,bit,,
ParentId,int,10,0
IsManualTime,bit,,
