COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
SportId,int,10,0
MatchData,varchar,,
UpdateVersion,timestamp,,
IsVisible,bit,,
IsMatchSuspended,bit,,
IsMatchAutoSuspended,bit,,
IsAutoFeedRequested,bit,,
IsAutoFeedConnected,bit,,
SessionId,int,10,0
Modified,datetimeoffset,,
IsLive,bit,,
ActualStartTime,datetimeoffset,,
MatchShortInfo,nvarchar,,
Duration,int,10,0
SuspensionLiveDuration,int,10,0
SuspensionTime,datetimeoffset,,
SuspensionPreMatchDuration,int,10,0
SuspensionDuration,int,10,0
StartTradingTime,datetimeoffset,,
AutoConfirmMatchResultEnabled,bit,,
MarketFactorsCorrectionEnabled,bit,,
ExternalBookmakerId,int,10,0
IsOddServiceRequested,bit,,
OddServiceMatchId,int,10,0
