COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
ParentId,int,10,0
Name,nvarchar,,
CompanyName,nvarchar,,
Notes,nvarchar,,
TimeZone,decimal,4,2
CurrencyId,char,,
LanguageId,char,,
Active,bit,,
IsTrial,bit,,
RevenuePercent,decimal,15,3
SiteUrl,varchar,,
LimitType,int,10,0
Modified,datetimeoffset,,
SessionId,int,10,0
BalanceChangeTime,time,,
Address,nvarchar,,
IntegrationType,smallint,5,0
IntegrationConfig,varchar,,
TimeMigrate,datetimeoffset,,
PartnerSecretKey,varchar,,
IsConfirmed,bit,,
IsConfirmingClientRequest,bit,,
Created,datetimeoffset,,
IsDeleted,bit,,
SepClientWallet,bit,,
ReportingCurrency,char,,
ChildPartnerRangeId1,int,10,0
ChildPartnerRangeId2,int,10,0
PricePartnerId,int,10,0
LicenseType,smallint,5,0
PartnerType,smallint,5,0
PartnerTags,int,10,0
DefaultLiveBooking,bit,,
DefaultPrematchBooking,bit,,
IsBlocked,bit,,
