Field,FormatInBase,FormatInAvro
ReviewedDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
IsCounterOffer,bit,boolean
DocumentId,bigint,long
ChildBetId,bigint,long
PartnerId,int,int
PromoType,int,int
WinningBonus,decimal,double
Hash,varchar,string
FreeBetAmount,decimal,double
TaxAmount,decimal,double
RecalculatedCount,int,int
ClientId,int,int
CheckDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
BonusAmount,decimal,double
SessionId,int,int
Tags,int,int
AdditionalInfo,nvarchar,string
WinningAmount,decimal,double
WinningAmountInEUR,decimal,double
TraderFlag,int,int
ParentBetId,bigint,long
MannuallySettledUserId,int,int
Details,nvarchar,string
OddType,int,int
InfoCashDeskId,int,int
RealBetAmount,decimal,double
Price,decimal,double
State,int,int
InputMethod,int,int
Note,nvarchar,string
ReviewedUserId,int,int
RejectedUserId,int,int
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
ReviewedStatus,int,int
LiveDelay,int,int
UpdateVersion,timestamp,string
AmountInEUR,decimal,double
CheckStatus,int,int
CalcDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
BonusBetAmount,decimal,double
IsSuperBet,bit,boolean
CurrencyId,char,string
Source,int,int
IsCloudBet,bit,boolean
Created,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
NoteUpdatedBy,int,int
OldBetId,bigint,long
ClientBonusId,int,int
PaidDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
Number,bigint,long
IsLive,bit,boolean
DrawNumber,varchar,string
PossibleTaxAmount,decimal,double
TemplateId,int,int
CashOutStake,decimal,double
IsMaxBet,bit,boolean
CashDeskId,int,int
IsBonusMoney,bit,boolean
IsEachWay,bit,boolean
Amount,decimal,double
ExternalId,bigint,long
WageringBonusId,int,int
SettlementError,varchar,string
SystemMinCount,int,int
SettlementId,bigint,long
Type,int,int
PossibleWin,decimal,double
SelectionCount,int,int
PaidCashdeskId,int,int
WagerBonusWinAmount,decimal,double
IsManuallySettled,bit,boolean
CloudBetAcceptedAmountInEUR,decimal,double
OfferSessionId,int,int
IsAutoCashOut,bit,boolean
