Field,FormatInBase,FormatInAvro
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
UpdateVersion,timestamp,string
DocumentId,bigint,long
Count,int,int
Created,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
ClientId,int,int
PromoCodeId,int,int
PartnerBonusId,int,int
WinAmount,decimal,double
SessionId,int,int
AcceptanceType,int,int
CancellationNote,nvarchar,string
CreatedBySessionId,int,int
Amount,decimal,double
ExternalId,int,int
ResultType,int,int
AcceptanceDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
RealAmount,decimal,double
PaidAmount,decimal,double
ToWagerAmount,decimal,double
WageredAmount,decimal,double
ExpirationDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
Note,nvarchar,string
PaymentDocumentId,bigint,long
ResultDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
