Field,FormatInBase,FormatInAvro
ModifyTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
UpdateVersion,timestamp,string
PaidReason,nvarchar,string
AllowTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
ClientNotes,nvarchar,string
CurrencyId,char,string
ImageId,int,int
ClientId,int,int
BetshopId,int,int
SessionId,int,int
Notes,nvarchar,string
FeeAmount,decimal,double
PaymentInfo,nvarchar,string
RejectUserId,int,int
PaymentSystemMessage,nvarchar,string
Amount,decimal,double
PaymentSystemId,int,int
RequestTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
AllowUserId,int,int
Info,nvarchar,string
RequestDocumentId,bigint,long
PartnerBankId,int,int
Type,int,int
ModifyUserId,int,int
State,int,int
PaymentDocumentId,bigint,long
RejectReason,nvarchar,string
