Field,FormatInBase,FormatInAvro
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
IsInVisiblePriceRange,bit,boolean
NameId,int,int
UpdateVersion,timestamp,string
IsAutoSuspended,bit,boolean
IsPrematchAutoSuspended,bit,boolean
IsManualSuspended,bit,boolean
SuspendedUserId,int,int
HomeScore,int,int
EachWayType,int,int
MarketOrder,int,int
IsManualVisible,bit,boolean
MultipleBetIndex,int,int
SessionId,int,int
Handicap,decimal,double
IsManual,bit,boolean
ResultingDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
IsManualResulted,bit,boolean
ExternalId,bigint,long
AwayScore,int,int
IsMain,bit,boolean
ExtraInfo,varchar,string
Sequence,int,int
MainOrder,int,int
IsPrematchVisible,bit,boolean
IsSuspendByLimiting,bit,boolean
PointSequence,int,int
MarketTypeId,int,int
Profitness,decimal,double
MatchId,int,int
MatchResultId,int,int
IsSelectionsOrderedByPrice,bit,boolean
SelectionsModified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
IsVisible,bit,boolean
WinCount,int,int
