Field,FormatInBase,FormatInAvro
PeriodType,int,int
CalcOrder,int,int
NameId,int,int
IsHandicap,bit,boolean
IsAllowCashoutOnManualSuspend,bit,boolean
ArjelCodes,nvarchar,string
DisplaySubKey,varchar,string
AsianPeriod,varchar,string
IsSelectionSequence,bit,boolean
DisplayKey,varchar,string
IsPointSequence,bit,boolean
MaxVisiblePrice,decimal,double
IsCalculatedFromBasic,bit,boolean
LiveKind,varchar,string
Kind,varchar,string
ResultExpression,varchar,string
DefaultSequence,int,int
SportId,int,int
MultipleBetIndex,int,int
KindBasalt,varchar,string
IsExcludedFromSameOddLogic,bit,boolean
IsMainMarket,bit,boolean
SuspensionValue,decimal,double
IsDynamic,bit,boolean
SessionId,int,int
Order,int,int
IsDeleted,bit,boolean
NotifyWhenResulted,bit,boolean
IsLiveOnly,bit,boolean
IsWithItems,bit,boolean
UseOnlyOriginalPrice,bit,boolean
IsBasic,bit,boolean
IsMaxPriceRestrictionAllowed,bit,boolean
IsParentSequence,bit,boolean
IsSelectionsOrderedByPrice,bit,boolean
MaxPrice,decimal,double
IsManualLive,bit,boolean
WinCount,int,int
IsPrematchOnly,bit,boolean
AsianSequence,varchar,string
CheckForAlternateSelection,bit,boolean
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
PeriodSequenceCount,int,int
LiveDelay,int,int
StoreScore,bit,boolean
IsActive,bit,boolean
HasMainMarket,bit,boolean
ReverseId,int,int
PointSequenceCount,int,int
ArjelCode,nvarchar,string
MinPrice,decimal,double
IsScoreType,bit,boolean
TypeGroup,int,int
MinVisiblePrice,decimal,double
SuspensionFactor,decimal,double
IsVariableProfitnes,bit,boolean
LimitPercentage,decimal,double
SelectionDisplayCount,int,int
MultipleBetIndexUsage,int,int
DisplayColor,int,int
IsOverUnder,bit,boolean
PreMatchKind,varchar,string
SuspensionType,int,int
AvailableforBetBuilder,bit,boolean
CashOutAvailable,bit,boolean
SelectionCount,int,int
AsianShowType,varchar,string
NotSendingToBasalt,bit,boolean
PairGroupId,int,int
IsPeriodSequence,bit,boolean
AutoGenerateItems,bit,boolean
IsVisibleAlways,bit,boolean
ResultTypeId,int,int
