Field,FormatInBase,FormatInAvro
VideoConfig,varchar,string
BetradarId,int,int
ExactBooking,bit,boolean
BetOnLineups,bit,boolean
ScoutProvider,int,int
SetAvailableUserId,int,int
IsNeutralVenue,bit,boolean
MarketCreationTemplateId,int,int
SeasonId,int,int
SessionId,int,int
IsManualTime,bit,boolean
Order,int,int
OldLiveDelay,int,int
ResultingNote,nvarchar,string
NoteId,int,int
StartTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
Duration,int,int
CompetitionId,int,int
LiveStatus,int,int
CancelReason,nvarchar,string
IsOutright,bit,boolean
VideoProvider,int,int
ResultingUserId,int,int
ExternalProviderInfo,nvarchar,string
LinkGroupId,int,int
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
LiveDelay,int,int
ResultKind,int,int
UpdateVersion,timestamp,string
MatchTVInfo,nvarchar,string
MultipleMinValue,int,int
Source,int,int
MobileVideoId,int,int
DoNotShowScores,bit,boolean
CreationOrigin,int,int
SuspensionTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
IsStreamAvailable,bit,boolean
LimitPercentage,decimal,double
IsFinalScoreConfirmed,bit,boolean
Round,int,int
StrongSide,smallint,int
ParentId,int,int
MatchInfoId,int,int
VideoId,int,int
IsStatAvailable,bit,boolean
DisplayType,int,int
VideoId2,int,int
InternalNote,nvarchar,string
Info,nvarchar,string
CancelReasonId,int,int
IsArchived,bit,boolean
VirtualInfo,varchar,string
ScoutId,bigint,long
IsVoid,bit,boolean
CalculationBlockedUserId,int,int
MatchInfo,varchar,string
VideoData,varchar,string
ShortId,int,int
IsCalculationBlocked,bit,boolean
LiveUserId,int,int
RiskLevel,smallint,int
HasStartTimeChanged,bit,boolean
