Field,FormatInBase,FormatInAvro
IsMatchAutoSuspended,bit,boolean
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
SuspensionPreMatchDuration,int,int
OddServiceMatchId,int,int
UpdateVersion,timestamp,string
MatchShortInfo,nvarchar,string
IsOddServiceRequested,bit,boolean
Duration,int,int
SuspensionDuration,int,int
MatchData,varchar,string
ExternalBookmakerId,int,int
AutoConfirmMatchResultEnabled,bit,boolean
IsMatchSuspended,bit,boolean
SuspensionLiveDuration,int,int
IsAutoFeedRequested,bit,boolean
IsAutoFeedConnected,bit,boolean
ActualStartTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
SuspensionTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
SportId,int,int
IsLive,bit,boolean
MarketFactorsCorrectionEnabled,bit,boolean
IsVisible,bit,boolean
SessionId,int,int
StartTradingTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
