Field,FormatInBase,FormatInAvro
PricePartnerId,int,int
PartnerType,smallint,int
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
Address,nvarchar,string
IntegrationConfig,varchar,string
IsConfirmed,bit,boolean
CurrencyId,char,string
Name,nvarchar,string
TimeMigrate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
Created,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
LicenseType,smallint,int
DefaultLiveBooking,bit,boolean
CompanyName,nvarchar,string
IsTrial,bit,boolean
SessionId,int,int
BalanceChangeTime,time,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
Notes,nvarchar,string
LimitType,int,int
IntegrationType,smallint,int
IsBlocked,bit,boolean
ParentId,int,int
SepClientWallet,bit,boolean
IsDeleted,bit,boolean
PartnerTags,int,int
DefaultPrematchBooking,bit,boolean
ChildPartnerRangeId2,int,int
ChildPartnerRangeId1,int,int
SiteUrl,varchar,string
RevenuePercent,decimal,double
TimeZone,decimal,double
Active,bit,boolean
PartnerSecretKey,varchar,string
IsConfirmingClientRequest,bit,boolean
LanguageId,char,string
ReportingCurrency,char,string
