Field,FormatInBase,FormatInAvro
ProfileId,int,int
DocIssueCode,nvarchar,string
Address,nvarchar,string
ExcludeTypeId,int,int
Gender,int,int
PreMatchSelectionLimit,decimal,double
DocIssuedBy,nvarchar,string
WrongLoginBlockTime,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
DocNumber,nvarchar,string
IsTwoFactorAuthenticationEnabled,bit,boolean
PepStatusId,int,int
PreferredCurrencyId,char,string
Status,int,int
IBAN,varchar,string
IsNoBonus,bit,boolean
PasswordSalt,bigint,long
Login,nvarchar,string
TimeZone,decimal,double
SportsbookProfileId,int,int
Id,int,int
PartnerFlag,nvarchar,string
RFId,varchar,string
TermsAndConditionsVersion,varchar,string
IsSportBlocked,bit,boolean
Created,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
NotificationOptions,int,int
SessionDuration,int,int
OwnerId,int,int
ActivationState,int,int
SwiftCode,varchar,string
RegistrationSource,int,int
ActivationCode,varchar,string
Excluded,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
PepStatusModifiedDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
IsResident,bit,boolean
CashDeskId,int,int
FirstName,nvarchar,string
TCVersionAcceptanceDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
IsLocked,bit,boolean
Currencies,nvarchar,string
GDPRAcceptanceDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
DublicateClientId,int,int
DocumentInfo,nvarchar,string
PricePartnerId,int,int
VerificationDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
Email,varchar,string
LiveSelectionLimit,decimal,double
GlobalLiveDelay,int,int
AditionalAddress,nvarchar,string
PartnerId,int,int
MaximalSingleBet,decimal,double
ActiveTimeInCasino,int,int
MobilePhone,varchar,string
Name,nvarchar,string
ExcludedLast,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
AuthomaticWithdrawalMinLeftAmount,decimal,double
ResetExpireDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
IsVerified,bit,boolean
SessionId,int,int
DocRegionId,int,int
IsAutomaticWithdrawalEnabled,bit,boolean
IsCasinoBlocked,bit,boolean
IsRMTBlocked,bit,boolean
BirthRegionId,int,int
City,nvarchar,string
NickName,varchar,string
MaximalDailyBet,decimal,double
LoyaltyLevelId,int,int
Province,nvarchar,string
ResetCode,varchar,string
LastName,nvarchar,string
BirthDate,datetime,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
OriginalBirthDate,date,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
TwoFactorAuthenticationCode,varchar,string
DocIssueDate,date,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
AffilateId,nvarchar,string
AuthomaticWithdrawalAmount,decimal,double
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
PromoCode,varchar,string
CurrencyId,char,string
PersonalId,nvarchar,string
Language,char,string
Phone,varchar,string
AccountHolder,nvarchar,string
IsUsingLoyaltyProgram,bit,boolean
WrongLoginAttempts,int,int
ZipCode,nvarchar,string
BTag,nvarchar,string
ExternalId,varchar,string
Title,nvarchar,string
MiddleName,nvarchar,string
IsSubscribedToNewsletter,bit,boolean
IsTest,bit,boolean
ActivationCodeExpireDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
LastCashBackBonusDate,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
BirthCity,nvarchar,string
BirthDepartment,nvarchar,string
RegionId,int,int
PasswordHash,varchar,string
IsQRCodeUsed,bit,boolean
PidNumber,nvarchar,string
